name,test,device,comments,3,am_version,n,extra,Latitude,Longitude
50,test01,,,,,,,51.776894,-1.336117
84,test01,,,,,,,51.774213,-1.339055
712,test01,,,,,,,51.776902,-1.337566
716,test02,1.2 10,,Deep in foliage,1.2,10,,51.7706,-1.336209
824,test02,1.1 06,Tape over vent,,1.1,06,,51.769693,-1.334773
1026,test02,1.2 08,,,1.2,08,,51.771499,-1.336196
1114,test02,1.2 07,,,1.2,07,,51.769701,-1.336222
1136,test02, 1.2 03,Tape over vent lol,,,1.2,03,51.770592,-1.33476
1439,test02,1.1 05,Tape over vent,,1.1,05,,51.771491,-1.334747
1651,test01,,,,,,,51.774188,-1.334707
1688,test02,1.1 02,,,1.1,02,,51.771508,-1.337645
1771,test02,1.1 09,,,1.1,09,,51.769709,-1.337672
1772,test01,,,,,,,51.774221,-1.340504
2057,test01,,,,,,,51.77418,-1.333258
2071,test02,1.1 01,,,1.1,01,,51.770609,-1.337658
test01,test01,,,,,,,51.774995,-1.339787
Point 397,test01,,,,,,,51.774953,-1.3339285
Point 398,test01,,,,,,,51.777678,-1.3368268
